Hotel_name,Review_Title,Review_Text,Sentiment,Rating_Percentage,Review_Text_TR
Accord Metropolitan,The room was spacious,The overall experience of the hotel was good. I had visited this hotel with my family. The appearance of the hotel was good. The check in and checkout was on time in the hotel. The service was good in the hotel. The room was spacious and clean. All the amenities were provided in the room. The food was good in the hotel. The complimentary breakfast was provided in the hotel.,3,71,Otel genel deneyimi iyiydi. Bu oteli ailemle ziyaret etmiştim. Otelin görünümü iyiydi. Check -in ve ödeme otelde zamanında oldu. Hizmet otelde iyiydi. Oda ferah ve temiz. Tüm olanaklar odada sağlandı. Yemek otel iyi oldu. Ücretsiz kahvaltı otelde verildi.
Accord Metropolitan,Not worth for money,I am taking this hotel as 4 stars since the rooms are so small and we can't place our luggages in a suitable place. Japanese restaurant was not good. Food are so small quantity. Not worth the money.,3,71,Odalar çok küçük olduğu için bu oteli 4 yıldız olarak alıyorum ve bagajlarımızı uygun bir yere yerleştiremiyoruz. Japon restoranı iyi değildi. Yiyecekler çok az miktarda. Paraya değmez.
Accord Metropolitan,Good,Neat and clean good service very good location good service by house keeping etc,3,65,Temiz ve temiz iyi hizmet çok iyi bir konum iyi hizmet tarafından ev tutma vb
Accord Metropolitan,Centrally located and value for money,The Hotel is centrally located in T Nagar area and also it is a luxury hotel with good rooms and staff is very courteous too. The food at the restaurant is the best thing about this hotel as they have a lot of options to eat. The food taste and quality is very good.,3,100,"Otel merkezi olarak T Nagar bölgesinde yer almaktadır ve aynı zamanda iyi odalar ve personel ile lüks bir otel çok nazik. Restoranda yemek, yemek için birçok seçenek olduğu için bu otel hakkında en iyi şeydir. Gıda tadı ve kalitesi çok iyi."
Accord Metropolitan,Worth the money spent,"You could stay there, it's a nice place. The hotel is good, the location is good, food is excellent. Well built and cleanliness level is above 100. Overall, it was a good experience, you'll find it worth the money spent. Thanks!",3,86,"Orada kalabilirsin, güzel bir yer. Otel iyi, konumu iyi, yemek mükemmel. İyi inşa edilmiş ve temizlik seviyesi 100'ün üzerindedir. Genel olarak, iyi bir deneyim oldu, harcanan paraya değer bulacaksınız. Teşekkürler!"
Accord Metropolitan,Conversation was not that much,I had visited this hotel for official purpose. All facility was provided in the room. Everything was fine at the hotel.,3,71,Resmi amaç için bu oteli ziyaret etmiştim. Tüm tesis odada verildi. Otelde her şey iyiydi.
Accord Metropolitan,Pleasant Stay,"Nice Hotel with good amenities. Nice Room with facilities, good Service and decent Breakfast spread, Value for Money! Situated at the prime place, easy connectivity and easy to locate. Good for families, groups and Business purpose. It was a comfortable stay!",3,86,"İyi olanaklara sahip güzel otel. Tesisler, iyi hizmet ve iyi kahvaltı yayma, para için değer ile güzel oda! Prime Place, kolay bağlantı ve kolay bulunabilir. Aileler, gruplar ve iş amacı için iyi. Rahat bir konaklama oldu!"
Accord Metropolitan,Very good hotel in the heart of the city offering value for money,This is a very good hotel in the heart of the city and offers good value for money. I book this most of the times when I travel to Chennai. The staff is very courteous and they do everything to make your stay awesome. The restaurant options are also many and you are spoilt for choice. There is also a lounge on the terrace which offers a great view of the city,3,100,Bu şehrin kalbinde çok iyi bir otel ve para için iyi bir değer sunuyor. Chennai'ye seyahat ettiğim zaman bu rezervasyon yaptırıyorum. Personel çok nazik ve onlar kalmak harika yapmak için her şeyi yapar. Restoran seçenekleri de çok ve seçim için şımarık. Terasta şehrin harika bir manzarasını sunan bir salon da var
Accord Metropolitan,Friendly Staff,We had a pleasant stay there. The staff were very friendly. Don't rent a cab from them as they charge lot more than other regular service providers.,3,100,Biz orada hoş bir kalmak vardı. Personel çok samimi. Diğer normal servis sağlayıcılardan çok daha fazla ücret aldıkları için onlardan taksi kiralamayın.
Accord Metropolitan,A Good Hotel,"The service is good ,the also provide free Wi-Fi internet connection ,the breakfast is ok but need to do some improvement .",3,80,"Hizmet iyi, ayrıca ücretsiz Wi-Fi İnternet bağlantısı sağlayın, kahvaltı tamam ama biraz iyileştirme yapması gerekiyor."
Accord Metropolitan,Good location,"Close to shopping, nice restaurants, good breakfast.",3,80,"Alışveriş, güzel restoranlar, iyi kahvaltı yakın."
Accord Metropolitan,Good for business travel.,Excellent staff.very friendly&helpful.however timetaken to resond was poor.breakfast menu could be better.daily toiletry &towel replenishment insufficient.but overal stay was pleasant.,3,80,Mükemmel personel. Çok dostu yararlı. Ne zaman rezonda alınan zaman zayıftı. Breakfast menüsü daha iyi olabilir.
Accord Metropolitan,,"Facilities: Nice ; Value: Fantastic; Service: Professional; Cleanliness: Pleasant; 
There's three restaurant inside this hotel so there is plenty of variety",3,100,"Tesisler: Güzel; Değer: Fantastik; Hizmet: Profesyonel; Temizlik: Hoş; 
Bu otelde üç restoran var, bu yüzden bol miktarda çeşitlilik var"
Harrisons Chennai,Avoidable,Perhaps they were making most of Chennai being almost Sold-out during my stay duration but asking for 5k without even basic facilities like complementary bottled water... Wow!!,2,60,Belki de Chennai'nin çoğu kalış sürem sırasında neredeyse tükenmiş ama tamamlayıcı şişelenmiş su gibi temel tesisler olmadan 5k sormak için yapıyorlardı ... vay !!
Harrisons Chennai,happy stay in Harrisons,"stayed with my wife in January, 2016. Very happy experience.",3,100,Ocak 2016'da eşimle kaldı. Çok mutlu bir deneyim.
Harrisons Chennai,Good option if you have to stay in the area.,"Front Office staff welcoming and helpful at every turn. Overall a comfortable stay. Rooms are small, but more than adequate for a single person.",3,80,"Ön büro personeli karşılama ve her fırsatta yararlı. Genel olarak rahat bir konaklama. Odalar küçük, ancak tek bir kişi için yeterli."
Harrisons Chennai,Good Chennai,Nice and comfortable and ideal for my activities,3,80,Güzel ve rahat ve aktivitelerim için ideal
Harrisons Chennai,Good value,"The physical facilities are quite nice - large clean room, comfortable lobby - but little things detract. The safe malfunctioned the day before I left, the WiFi bandwidth was overly maxed out during evenings making email impossible, the fitness room was a joke.",2,60,"Fiziksel tesisler oldukça güzel - büyük temiz oda, konforlu lobi - ama küçük şeyler reddediyor. Güvenli, ben ayrılmadan bir gün önce arızalandı, WiFi bant genişliği akşamları e -postayı imkansız hale getiren aşırı derecede en fazla maksimize edildi, fitness odası bir şakaydı."
Harrisons Chennai,new year stay,The location was perfect.,3,80,Konumu mükemmel.
Harrisons Chennai,Good hotel. Nice staff. Good restaurant,Good,3,80,İyi
The Park Chennai,Will never do this,"Check in took more then 45 mins, all the 4 pillows in the room where of different sizes, dirty and stained curtains, no phone next to bed and you have to walk to the study table, slow room service, poor understanding of how international bookings work, do not accept discover cards,",1,40,"Check -in 45 dakikadan fazla sürdü, farklı boyutların, kirli ve lekeli perdelerin, yatağın yanında telefon yok ve çalışma masasına yürümeniz, yavaş oda servisine, uluslararası rezervasyonların nasıl çalıştığını, Keşif Kartlarını Kabul Etmeyin,"
The Park Chennai,Good place.. would definitely recommend !,Room was very clean and well maintained.. breakfast was extraordinary..,3,80,Oda çok temiz ve bakımlı .. kahvaltı olağanüstü ..
The Park Chennai,Nice hotel close to the US embassy.,"My stay in The Park was a very pleasant one. The front desk staffs were very friendly,helpful and warm. They arranged even a cradle for my 2 month old baby. The room was well maintained and the complimentary breakfast had a wide spread. Overall the experience was a pleasant one.",3,80,"Parkta kaldığım çok hoş bir oldu. Ön büro personeli çok samimi, yardımsever ve sıcak. 2 aylık bebeğim için bile bir beşik düzenlediler. Oda iyi korunmuş ve ücretsiz kahvaltı geniş bir yayıldı. Genel deneyim hoş bir deneyim oldu."
The Park Chennai,Experience not at par as claimed!!,"This property is a bit old. Bath tub, toilets are old and had stains. White towels were provided, but even they had stains and dirty.",1,20,"Bu özellik biraz eski. Küvet, tuvaletler eski ve lekeler vardı. Beyaz havlu sağlandı, ama onlar bile leke ve kirli vardı."
The Park Chennai,Not a good experience,"The hotel rooms are quite old and are not maintained. The chair cushion was torn. Shower curtains, window curtains and even the phone had a musty smell. Wait at the reception was too long. 
Breakfast was decent. Location is very good for US visa applicants.",1,40,"Otel odaları oldukça eski ve korunmuyor. Sandalye yastığı yırtıldı. Duş perdeleri, pencere perdeleri ve hatta telefonda küf kokusu vardı. Resepsiyonda bekle çok uzundu. 
Kahvaltı iyi. Konum ABD Visa başvuru sahipleri için çok iyidir."
The Park Chennai,Convenient Stay,Wifi needs to improve,3,80,WiFi'nin gelişmesi gerekiyor
The Park Chennai,"Great location for business, but cramped",This place is probably better for business travelers but its definitely cramped for families. The bathrooms were very small and i felt I like was in a plane toilet. The location is outstanding though and accessible to almost everything in mainland chennai.,2,60,Burası muhtemelen iş gezginleri için daha iyidir ama kesinlikle aileleri için sıkışık. Banyolar çok küçük ve bir uçak tuvalette olduğunu hissettim. Konumu olağanüstü ve anakara Chennai hemen hemen her şey için erişilebilir.
The Park Chennai,Definitely NOT a 5 star hotel they claim to be,They have a good lobby and good place to eat. Everything else comes no way near the 5 star hotel that they claim to be. Rooms are just about 3 star hotel level. Was just disappointed. thankfully had booked here only for a day.,1,40,"Onlar iyi bir lobi ve yemek için iyi bir yer var. Diğer her şey, olduklarını iddia ettikleri 5 yıldızlı otelin yakınında gelmez. Odalar sadece 3 yıldızlı otel seviyesidir. Sadece hayal kırıklığına uğradı. Neyse ki burada sadece bir gün için rezervasyon yapmıştı."
The Park Chennai,,"Need to improve cleanness

Need to improve customer careness

Employee at resturent are should care enough all the customers",2,60,"Temizliği iyileştirmeniz gerekiyor

Müşteri önemini artırmanız gerekiyor

Restorent'teki çalışan tüm müşterileri yeterince önemsemelidir"
The Park Chennai,Good location at good price,Need maintaince there was smell in the room. Breakfast was good.,2,60,Odada koku vardı. Kahvaltı iyiydi.
The Park Chennai,Very dirty rooms,As soon as we entered the room our first thought was not to touch anything as it was very dirty. room was worse then a cheap motel room and you wouldn't want to get close to the bed. This is definitely not a 5* hotel as mentioned on Expedia. Its close to US consulate but with rooms so bad I would rather travel a few minutes then stay here.,1,20,Odaya girer girmez ilk düşüncemiz çok kirli olduğu için hiçbir şey dokunmaktı. Oda ucuz bir motel oda daha kötü ve yatağa yakın almak istemezsiniz. Bu kesinlikle Expedia belirtildiği gibi bir 5* otel değil. Onun ABD konsolosluğu yakın ama o kadar kötü odalar ile birkaç dakika seyahat sonra burada kalmak.
The Park Chennai,"Well located, brand hotel","The hotel is well located in central chennai. Its easy to find places to go out in the evneing after work, or for shopping at the two big malls nearby. They have a nice pool on the 8th floor and several bars in the hotel.",3,80,"Otel, Chennai'nin merkezinde yer almaktadır. İşten sonra ya da yakındaki iki büyük alışveriş merkezinde alışveriş yapmak için dışarı çıkacak yerler bulmak kolaydır. 8. katta güzel bir havuz ve otelde birkaç bar var."
The Park Chennai,Worst service,Nobody attends phone. Rooms are very old & small. Very small outdated tv,1,20,Kimse telefona katılmıyor. Odalar çok eski & küçük. Çok küçük modası geçmiş TV
The Park Chennai,Average stay,"While the location, room, facilities are good. There is lot to be improved on service levels especially at the time of check-in and checkout. The staff at the reception counter possibly are not trained well or there is too much of attrition of trained staff. Wait for checkin/checkout is too long and not acceptable from a star category hotel.",3,71,"Konum, oda, tesisler iyi. Özellikle check-in ve ödeme sırasında servis seviyelerinde geliştirilecek çok şey var. Resepsiyon sayacındaki personel muhtemelen iyi eğitilmemiştir veya eğitimli personelin yıpranması vardır. Check/Checkout için bekleyin çok uzun ve bir yıldız kategorisi otelden kabul edilemez."
The Park Chennai,,Great location. But this hotel is not worth the price they charge. Terrible room layouts. Staff is slow and not trained properly. Guest services will not pick up phone. Had to call 4-5 times before they pick up. Spent lot of time to handle requests put on reservation at time of booking.,1,40,Harika konum. Ancak bu otel ücretli fiyat değmez. Korkunç oda düzenleri. Personel yavaş ve düzgün eğitilmedi. Konuk hizmetleri telefon almayacak. Almadan önce 4-5 kez aramak zorunda kaldı. Rezervasyon sırasında rezervasyon talepleri yapmak için çok zaman harcadı.
The Park Chennai,OK good,The hotel night club DJ is good and good place for party goers yyy66,3,65,Hotel Night Club DJ parti müdavimleri için iyi ve iyi bir yer yyy66
The Park Chennai,An average hotel,Cleanliness at restroom and corridors and pathways could have been better. There is no hot water in the morning time before 8am. Hot water problem was there on both the days of stay. Couple of lights were not working.,3,71,Tuvalet ve koridorlar ve yollar temizliği daha iyi olabilirdi. Sabah sabah 8'den önce sıcak su yok. Sıcak su sorunu her iki kalış gününde de vardı. Birkaç ışık çalışmıyordu.
The Park Chennai,Nice location & spacious rooms,"Room was spacious. Maintenance is bad with cracked walls, water seepage. The hotel management needs to spruce it up. Not value for money. Location is great though. Very centrally located and in the heart of the city.",3,71,"Oda geniş. Çatlak duvarlar, su sızıntısı ile bakım kötüdür. Otel yönetiminin ladin olması gerekiyor. Para için değer değil. Konum olsa da harika. Çok merkezi bir konuma ve şehrin kalbinde."
The Park Chennai,Good location and helpful staff,"If they can accommodate the check-in with your arrival time it will be good. We had to wait for 3hours after reaching the hotel to get the room, though it was booked 1month in advance. Location is very good. Hotel staff are very helpful.",3,86,"Eğer check-in varış saatinizle karşılayabilirse iyi olacaktır. Yine de 1 aylık önceden rezerve edilmiş olsa da, oda almak için otel ulaştıktan sonra 3 saat beklemek zorunda kaldı. Konum çok iyi. Otel personeli çok yararlı."
The Park Chennai,Perfect location & helpful staff,This hotel was at perfect location near US consulate. Hotel was very beautiful and well maintained. Was filled with mostly people who have came for visa interview. Staff also was very helpful and cooperative.,3,86,"Bu otel ABD konsolosluğu yakınında mükemmel bir konumda oldu. Otel, çok güzel ve iyi korunmuş. Çoğunlukla vize röportajı için gelen insanlarla doluydu. Personel de çok yararlı ve kooperatif."
The Park Chennai,Average hotel,"Pros: Centrally located - close to the us embassy, food at hotel 601 was good, friendly staff, decent gym and swimming pool. Cons: Poor rooms/worn out floors, over prized, long waits for checking out.",2,57,"Artıları: Merkezi bir konuma - ABD Büyükelçiliği'ne yakın, Hotel 601'de yemek iyi, güler yüzlü personel, iyi spor salonu ve yüzme havuzu oldu. Eksileri: Zavallı odalar/yıpranmış zeminler, ödüllendirilmiş, uzun süre kontrol etmek için bekler."
The Park Chennai,Excellent service,Enjoyed my stay. Very pleasant service. My stay included buffet breakfast which was excellent. The location is very close to the US consulate which is a big advantage. There are lots of eating options within a few miles radius. Will recommend luxury rooms.,3,86,Kaldığım zevk. Çok hoş bir hizmet. Kaldığım mükemmel olan açık büfe kahvaltı dahil. Konumu büyük bir avantaj olan ABD konsolosluğuna çok yakın. Birkaç mil yarıçapında çok sayıda yemek seçeneği var. Lüks odalar tavsiye edecektir.
The Park Chennai,Need inspiration? Check out other reviews for The Park Chennai written by travellers like you or read some tips on writing great reviews.,Need inspiration? Check out other reviews for The Park Chennai written by travellers like you or read some tips on writing great reviews. Need inspiration?,3,65,İlham almanız mı gerekiyor? Sizin gibi gezginler tarafından yazılan Park Chennai için diğer incelemelere göz atın veya harika yorumlar yazma hakkında bazı ipuçları okuyun. İlham almanız mı gerekiyor?
The Park Chennai,Not a customer friendly hotel,"I made a booking for my guests, my guests were not allowed to stay in spite of a booking and payment being made online, my guests were made to wait at the lobby nearly 5 hours. Finally, I gave my ID proofs to accommodate them and yet it was not accepted and had to find a alternate solution in other hotel. Not a customer friendly hotel.",2,57,"Konuklarım için bir rezervasyon yaptım, misafirlerimin çevrimiçi bir rezervasyon ve ödemeye rağmen kalmasına izin verilmedi, konuklarım lobide yaklaşık 5 saat beklemek için yapıldı. Sonunda, onları barındırmak için kimlik kanıtlarımı verdim ve yine de kabul edilmedi ve diğer otelde alternatif bir çözüm bulmak zorunda kaldı. Müşteri dostu bir otel değil."
The Park Chennai,Nice stay,"It was very nice to stay in the park hotel with all the well equipped and its clean, I am happy to stay in future.. Its in right location for us to stay and hotel reception staff and service team are very polite and professional, I have not used much facilities which are available but next time I will try to use more.",3,100,"Park otelde tüm iyi donanımlı ve temiz kalmak çok güzeldi, gelecekte kalmak için mutluyum .. bizim için doğru konumda ve otel resepsiyon personeli ve servis ekibi çok kibar ve profesyonel, mevcut olan çok fazla tesis kullanmadım ama bir dahaki sefere daha fazla kullanmaya çalışacağım."
The Park Chennai,This hotel is good for pubbing only,"The rooms renovated are also leaking, Water seepage is there in the walls. Very bad maintenance. This hotel is good for pubbing only. Mattress very soft and you get back pain. High time they replace the mattress.. Renovation is a must at this stage. Always hot water problem is there and taps are leaky. Health faucet must in the toilets.",3,71,"Yenilenen odalar da sızdırıyor, duvarlarda su sızıntısı var. Çok kötü bakım. Bu otel sadece yayınlamak için iyidir. Yatak çok yumuşak ve geri acı çekiyorsun. Yatağın yerini yüksek zaman .. Yenileme bu aşamada bir zorunluluktur. Her zaman sıcak su sorunu var ve musluklar sızdırıyor. Sağlık musluğu tuvaletlerde olmalıdır."
The Park Chennai,Good place to stay,"Overall a good place to stay. Food was good. Rooms were clean and have enough space. Best place for visa interview as the place is right opposite and in case you forgot something for visa, you can get it quickly from room.",3,86,"Genel olarak kalmak için iyi bir yer. Yemek iyiydi. Odalar temiz ve yeterli alan var. Vize röportajı için en iyi yer, yer tam tersi ve vize için bir şey unuttuysanız, odadan hızlı bir şekilde alabilirsiniz."
The Park Chennai,Food tasted awful,"Except for being in the heart of city the hotel has nothing to boast of. Food tasted awful so much so, that we almost ate with pickle as a side dish. Breakfast room is poorly lit is enough to make your morning dull. Rooms unkempt and falling apart.",1,29,"Şehrin kalbinde olmak dışında otelin övünecek hiçbir şeyi yoktur. Gıda o kadar çok tadı ki, biz neredeyse bir garnitür olarak turşu ile yedik. Kahvaltı Odası, sabahınızı donuk yapmak için yetersiz aydınlatılmıştır. Odalar dağınık ve parçalanıyor."
The Park Chennai,Needs to improve on room but good service,"Hotel rooms are to be repaired in the bathrooms. As walls are to repainted. Outside windows are not clean, birds made dirty on that. But inside rooms are clean and well maintained AC Services are good.",3,86,"Otel odaları banyolarda tamir edilecektir. Duvarlar yeniden boyanacak gibi. Dış pencereler temiz değil, kuşlar bu konuda kirleniyor. Ancak iç odalar temiz ve bakımlı AC hizmetleri iyidir."
The Park Chennai,close to embassy,"Bathroom dirty , room dirty bedsheets not changed only positive thing is the buffet breakfast",1,40,"Banyo kirli, oda kirli yatak tabloları değişmedi Sadece olumlu bir şey büfe kahvaltı"
The Park Chennai,,Hotel staff are not co-ordinating well for the room service and Billing payment.,1,40,"Otel personeli, oda servisi ve faturalandırma ödemesi için iyi koordine edilmemektedir."
The Park Chennai,Over rated and overpriced Hotel,I am not sure why someone wants to spend that kind of money to be disappointed.,1,40,Birinin neden hayal kırıklığına uğramak için bu tür parayı harcamak istediğinden emin değilim.
The Raintree,Definitely Discerning,"This is an ideal hotel to stay in - clean, friendly, good wholesome food and excellent value for money for a discerning customer. The staff are pleasant and helpful in all areas - reception, dining, housekeeping and concierge services. Try it and return again.",3,100,"Bu kalmak için ideal bir oteldir - temiz, samimi, iyi sağlıklı yiyecekler ve seçici bir müşteri için para için mükemmel değer. Personel, resepsiyon, yemek, temizlik ve konsiyerj hizmetleri gibi tüm alanlarda hoş ve yararlı. Deneyin ve tekrar geri dönün."
The Raintree,,Good,3,80,İyi
The Raintree,Good hotel,Dinner buffet was not too pricey and food was amazing! The only downside during my stay was the discoloration of water in the bathroom sink.,2,60,Akşam yemeği büfesi çok pahalı değildi ve yemek şaşırtıcı! Kaldığım sırasında tek dezavantajı banyo lavabosunda su renk değişikliği oldu.
The Raintree,,"Great service, clean room and nice ambiance. I stayed with my family and we had a good time. I would recommend not just for business stays but also for families.",3,100,"Büyük hizmet, temiz oda ve güzel ambiyans. Ailemle kaldım ve iyi vakit geçirdik. Sadece iş konaklamaları için değil, aynı zamanda aileler için de tavsiye ederim."
The Raintree,Staff is their strength,"Great staff, Good location, good food. Cleanliness need to get improved, every thing else is good",3,80,"Büyük personel, iyi konum, iyi yemek. Temizliğin iyileşmesi gerekiyor, her şey iyi"
The Raintree,Nice Hotel in Anna Salai,"Excellent experience, clean room, friendly and courteous staff. Good restaurants in the hotel, nice food.",3,100,"Mükemmel deneyim, temiz oda, dost ve nazik personel. Otelde iyi restoranlar, güzel yemek."
The Raintree,Good breakfast,Very helpful staff and you are really taken care about things that you need.,3,100,Çok yararlı personel ve gerçekten ihtiyacınız olan şeylerle ilgileniyorsunuz.
The Raintree,Room service poor,"Room service poor. Service took time. Also the tray was not cleared.
Dissapointed with that.
Location of hotel is good.
Buffet dinner and breakfast was good.
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this. 
Nothing more to say other than this.",3,80,"Oda Servisi Zavallı. Hizmet zaman aldı. Ayrıca tepsi temizlenmedi.
Bununla dissapointed.
Otelin yeri iyi.
Açık büfe akşam yemeği ve kahvaltı iyiydi.
Bunun dışında söyleyecek başka bir şey yok. 
Bunun dışında söyleyecek başka bir şey yok. 
Bunun dışında söyleyecek başka bir şey yok. 
Bunun dışında söyleyecek başka bir şey yok."
The Raintree,,"It was great. Food is expensive, but good. Taxes are high. And the hotel car to the airport was $25.00 plus taxes; that was expensive; I could probably gotten my own taxis for $10.00-15.00. 
Great place and excellent service.",3,100,"Harikaydı. Yemek pahalı ama iyi. Vergiler yüksek. Ve havaalanına otel arabası 25,00 $ artı vergilerdi; Bu pahalıydı; Muhtemelen 10,00-15 $ karşılığında kendi taksilerimi alabilirim. 
Harika bir yer ve mükemmel hizmet."
